txHash,tokenId,class,breedCount,withPrice,withPriceUsd,timestamp,part1,part2,part3,part4,part5,part6
0x0f3120669ea18de95a7fc9564c09b4925b8c3e85abcf209a11d2abe88ae8ae5d,1027200,Reptile,4,"0,0009","1,57",2023-06-10 14:48:44,eyes-topaz,ears-early-bird,back-green-thorns,mouth-toothless-bite,horn-kestrel,tail-hot-butt
0xff4e7963fc68b9b84cbc6cff59466c9dbe42f75642b0eb8dcae9d1e85eb5c69a,11745775,Dusk,2,"0,004","6,97",2023-06-10 14:48:44,eyes-gecko,ears-small-frill,back-snail-shell,mouth-tiny-turtle,horn-watermelon,tail-potato-leaf
0x120c6296a763757c92749b517690ad602d453516f1c8642bd1e593134204d2cd,11766910,Dawn,0,"0,01294861","22,55",2023-06-10 14:48:35,eyes-topaz,ears-innocent-lamb,back-goldfish,mouth-square-teeth,horn-bumpy,tail-nimo
0xc9b319d990bdccf370c889e30edd6769f44de830e45d81368cfe1be441fbfc04,11390134,Dawn,0,"0,001","1,74",2023-06-10 14:48:23,eyes-little-peas,ears-seaslug,back-furball,mouth-little-owl,horn-kestrel,tail-pupae
0xa4698254d88b07860ce802f5dcaf28c2e2a32221f8147674e69e8389e58f2f13,11759846,Bug,2,"0,012","20,9",2023-06-10 14:48:20,eyes-topaz,ears-innocent-lamb,back-pumpkin,mouth-square-teeth,horn-bumpy,tail-nimo
0x98b272558ca51abd95f8afc34f655e05cbb7a5aa20dff0935b5a2906b9aa3aa2,7353492,Plant,2,"0,00091479","1,59",2023-06-10 14:47:23,eyes-blossom,ears-lotus,back-pumpkin,mouth-goda,horn-leaf-bug,tail-hot-butt
0x35f0ba4a4c4aca8927bd0b0f595848b62a2a21a58d2509db32a5f6d0ba979731,6583506,Plant,2,"0,0006889","1,2",2023-06-10 14:57:47,eyes-cucumber-slice,ears-zen,back-bidens,mouth-serious,horn-cactus,tail-carrot
0x9b147256b27afce013c0c81345d5911a2f2557b936f9d1df4e42bc5d7c6428bc,11739354,Bug,3,"0,01","17,41",2023-06-10 14:57:29,eyes-topaz,ears-innocent-lamb,back-sponge,mouth-square-teeth,horn-bumpy,tail-nimo
0x78460e18bcc1ffebd339be3d522b9158b12fe6ea5fb9c99592d44e0bd013455d,11763003,Bug,0,"0,012","20,89",2023-06-10 14:57:02,eyes-topaz,ears-innocent-lamb,back-garish-worm,mouth-square-teeth,horn-shoal-star,tail-nimo
0x8163a154fe5c13a5c03ad3feb2e647f19cae15dc57ae1e9fddc4a34a65cebf55,11725264,Dawn,5,"0,01","17,41",2023-06-10 15:00:50,eyes-topaz,ears-innocent-lamb,back-goldfish,mouth-risky-fish,horn-shoal-star,tail-nimo
0x7f1f523a31a557aff6d3f00b440f498fa68093cc344f27ba1623b170b6a97085,11602625,Dusk,4,"0,002","3,48",2023-06-10 14:59:53,eyes-cucumber-slice,ears-small-frill,back-green-thorns,mouth-silence-whisper,horn-parasite,tail-hatsune
